hour,cooling_kW
0,0.5078896172736127
1,0.4388840837681423
2,0.3708144783412641
3,0.3089973294673721
4,0.25163946635296497
5,0.18654812596608283
6,0.5538099413300186
7,0.7007178414922172
8,1.059740537237227
9,1.5924337548360852
10,1.6911772960059868
11,1.493979398456403
12,1.4650188123257522
13,1.497668054150173
14,1.4419367063480801
15,1.2985056583835297
16,1.1333910026621228
17,1.0303662634451514
18,1.2333895630788996
19,1.271925332266791
20,1.3004178087787677
21,1.3081761146013215
22,1.3183331046647389
23,0.9322839187759037
24,0.49125567107985185
25,0.4130584069184922
26,0.32810112830425836
27,0.25490684733728336
28,0.1951925020302971
29,0.15546503058496738
30,0.5254735966376272
31,0.4280125139136175
32,0.7096901914510421
33,1.0657916402979692
34,1.19999758594426
35,1.327677185766921
36,1.4255498056005789
37,1.429525590802841
38,1.3174050838463622
39,1.162000913617373
40,0.9898272665724558
41,1.1099656132722386
42,1.3275607714044537
43,1.3766480490693727
44,1.4064537872665432
45,1.432415090835675
46,1.4103432060047456
47,1.0267941602969142
48,0.6139910751537407
49,0.555798683458558
50,0.5085504189818048
51,0.44642535955438417
52,0.37903275688355703
53,0.3172012048635659
54,0.6616448322962519
55,0.6328920100490968
56,1.058838320604718
57,1.6713090222258797
58,1.7601374396143368
59,1.722170254866688
60,1.7953441037984836
61,1.8398430667928134
62,1.8278573890580325
63,1.680856956510306
64,1.3861941337440906
65,1.4846627435016746
66,1.7811153897395813
67,1.8823079421813798
68,1.932577649663839
69,1.9604065975104414
70,1.8961681515740108
71,1.4397177503142322
72,0.9450528026718081
73,0.8063274904279665
74,0.6965134664455299
75,0.6053196355318086
76,0.522065366046504
77,0.4467171616304445
78,0.7726526333919983
79,0.8335128241723023
80,1.3444636667143934
81,1.8199580838339833
82,1.819301570837678
83,1.7663273735999299
84,1.809735877251515
85,1.795152528939321
86,1.72894005946042
87,1.5989887856279064
88,1.2784882190239288
89,1.3767573228847705
90,1.6484839257377162
91,1.722368602633905
92,1.756123835755735
93,1.7699566725626212
94,1.7016798349974918
95,1.2519235017841637
96,0.7737179917209199
97,0.6462558345006446
98,0.5368033548153692
99,0.4543783062361929
100,0.3642048607092717
101,0.26504689608852766
102,0.561933693448945
103,0.49351573939226895
104,0.8579409420230882
105,1.3873202223563286
106,1.4552595926221001
107,1.4307365523402402
108,1.5173508017600499
109,1.5509656275294539
110,1.511024030753948
111,1.349585351606677
112,1.0252918774244446
113,1.1102710345467484
114,1.3576178134661654
115,1.430881180968116
116,1.4623977882939627
117,1.479695002999996
118,1.4275576959410763
119,1.009673172590461
120,0.5548524044186209
121,0.4564479494320367
122,0.3678165180938375
123,0.2662875655876308
124,0.1492630477172278
125,0.07630349534655376
126,0.32668040713717295
127,0.16731484089743293
128,0.3726419524049473
129,0.8834288411907574
130,1.0618591002637143
131,1.1361593292525725
132,1.2581803339636801
133,1.2783736841745768
134,1.2110792092629101
135,1.099149131350888
136,0.9033371575945099
137,1.0107329338015965
138,1.2504830784735348
139,1.3206326294335882
140,1.3557555136999602
141,1.3830508991865862
142,1.3370284414093343
143,0.9276165711766466
144,0.5260725562989672
145,0.44083024243927665
146,0.340969957813632
147,0.2363587694781229
148,0.12483369826421838
149,0.015669476916706213
150,0.32387107484401373
151,0.5631711386760774
152,1.127151486063617
153,1.6828499746389158
154,1.748048225115441
155,1.7317434029721468
156,1.8227816406342274
157,1.8532710180751322
158,1.8082304714735864
159,1.6582884425723106
160,1.345154938815114
161,1.2476732875154706
162,1.536413837660196
163,1.6166599568451356
164,1.654672904632286
165,1.682954988305014
166,1.6959650588185162
167,1.258649445008971
168,0.794888658413216
169,0.6745234726066245
170,0.5763932548241675
171,0.5007197162896019
172,0.4164827160735251
173,0.3168753821745442
174,0.6380041967158839
175,0.8658534918646947
176,1.4396670034975594
177,1.9462916001031418
178,1.982824716439081
179,1.9289042620951142
180,1.9826185195425234
181,2.0064796659838877
182,1.9688507212296802
183,1.821328843879123
184,1.4833212725458373
185,1.366137873437596
186,1.6467553526058947
187,1.7324706762877815
188,1.763120942909885
189,1.7736263351902355
190,1.7852361347176708
191,1.334881256669391
192,0.8228190819355394
193,0.6920146077011967
194,0.5865244528009596
195,0.5002938820604692
196,0.4126571973167166
197,0.30400883117671884
198,0.6133703216390676
199,0.6646868064983597
200,1.2040661807954938
201,1.7294492602610296
202,1.7591319036147224
203,1.7063153189387688
204,1.7518508758329026
205,1.7504177931252742
206,1.7091510733917576
207,1.5811471520512856
208,1.2584562305918015
209,1.3547821693765014
210,1.6450781023453567
211,1.7431918794578363
212,1.7978552646249517
213,1.8301559584059857
214,1.772584782033042
215,1.326550104606995
216,0.8461426991304359
